前大,['前大']
正手,['forehand']
破发点,['break point']
不能容忍,"['intolerance', 'have no patience with', 'beyond the pales of']"
临清,['the City of Linqing']
训练制度,['训练制度']
工商界,"['business circles', 'industrial and commercial circles']"
技工,"['artisan', 'millwright', 'workman', 'technician', 'artificer']"
剖切法,['剖切法']
贵金属,"['precious metal', 'noble metal']"
求交,['intersection']
奇缘,"['Witch From Nepal（电影名）', 'fate', 'strange tales']"
西安事变,"[""the Xi'an Incident""]"
震惊中外,['震惊中外']
事变,['incident']
抗日,['anti-Japanese']
合川,['hechuan']
桃片,['桃片']
名特产,['名特产']
事摩,['事摩']
赫氏,['赫氏']
抽滤,['suction filtration']
勿忘,"['bear sth. in mind', 'remember', 'do not forget']"
赌气,"['feel wronged and act rashly', 'get in a rage']"
多媒体教学,"['multimedia teaching', 'multimedia instruction']"
有马,['有马']
月牙,['crescent moon']
释出,['disengagement']
十加仑,['十加仑']
空调器,['air-conditioner']
琶,['琶']
音是,['音是']
暖白,['warm white']
七彩,"['colorful', 'a Chinese phrase referring to multiple colors in its broad sense', 'a Chinese phrase referring to the seven kinds of color, namely, red, orange, yellow, green, blue, cyan and purple. refers to multiple colors in its broad sense']"
刀式,['刀式']
折页,"['folding', 'fold']"
刀把,"['hilt', 'tool holder']"
推过,['推过']
滚轴,['roller']
屈折,['flexion']
对云微,['对云微']
对南,['对南']
煤成气,['coal gas']
干嘛,['干嘛']
索宜,['索宜']
阿帕查,['阿帕查']
娜丽家,['娜丽家']
盖欧,['盖欧']
西森难,['西森难']
今生,['this life']
寻寻觅觅,"['search for', 'look for']"
茫茫人海,"['crush of people', 'huge crowd']"
刷成,['刷成']
英语教育,"['English education', 'ELT(English language teaching)']"
鲍勃道,['鲍勃道']
患过,['患过']
岁间,['岁间']
散个,['散个']
读一,['读一']
敲打,"['beat', 'strike', 'rap', 'tap', 'percuss']"
所剩,['所剩']
疏伐,['thinning']
资之,['资之']
较为简单,['较为简单']
伊兰,"['Ilan', 'Eland', 'Gilland', 'Gillan']"
备降,['make preparation for dropping']
越强,['越强']
均质,['homogeneity']
定解,['定解']
和拉氏,['和拉氏']
摇钱树,['a ready source of money']
乐满地,['乐满地']
支上,['支上']
防暴警察,"['riot police', 'riot squad']"
蛊惑,"['bewitch', 'delude']"
环论,"['ring theory', 'theory of rings']"
左理想,['左理想']
所含,['所含']
零性,['零性']
甘与苦,['甘与苦']
八木,['八木']
勇治说,['勇治说']
岩手县,['Iwate-ken']
茨城县,['茨城县']
杜邦,['Dupont']
鸟盟,['鸟盟']
共同完成,"['accomplish together', 'complete together']"
去垢,"['scaling', 'scrubbing', 'antisludge']"
熏,"['smouldering', 'smoke', 'scent', 'fume', 'fumigate']"
北育,['北育']
南繁,['南繁']
加代快,['加代快']
繁,"['numerous', 'complicated', 'manifold', 'multiply', 'propagate']"
保身,"[""save one's own skin""]"
内蕴,"['implication', 'internal implication']"
飘渺,"['misty', 'dimly discernible']"
司仪,"['emcee', 'officiate', 'master of a ceremony or a programme', 'event host']"
新技能,"['new ability', 'new skill']"
现场实验,['field experimentation']
海蛇,"['sea snake', 'Hydrophis cyanocinctus', 'sea serpent']"
碱茅,['碱茅']
含盐量,['saltness']
待办,"['backlog', 'wait to be done']"
要于,['要于']
侧重点,['emphasis']
革命斗争,['revolutionary struggle']
交相辉映,"['add radiance and beauty to each other', ""enhance each other's beauty""]"
压底,['sole press']
脱底,['bottom off']
对产,['对产']
丁二酸,"['succinic acid', 'butanedioic acid']"
放线,['paying off']
生物转化,"['biotransformation', 'bioconversion']"
口山,['口山']
胺基,"['amidogen', 'amido']"
延年,['macrobiosis']
梅罗将,['梅罗将']
缟,['plain white silk']
玛瑙,"['agate', 'carnelian', 'Scotch pebbles']"
若非,"['if not', 'were it not for', 'had it not been']"
清扫车,"['sanitizer', 'motor sweeper']"
葛雷丝,['葛雷丝']
丁香油,"['oil of cloves', 'clove oil']"
糖精,['saccharin']
已够,['已够']
令人恶心,"['nauseating', 'nauseous', 'revolting', 'repugnant', 'gross', 'disgusting']"
更盖,['更盖']
杜松子酒,"['gin', 'geneva', 'jacky']"
软卧,"['soft sleeper', 'soft berth']"
楚王,['king of Chu']
沈诸梁,['沈诸梁']
临行,"['before leaving', 'on departure']"
沈先生,['沈先生']
使齐,['使齐']
古龙水,['cologne']
毛膏,['毛膏']
沐浴乳,"['body shampoo', 'shower lotion']"
古生物,"['paleontology', 'palaeobios', 'prehistoric life']"
防烟,"['smoke control', 'smoke prevention', 'smoke proof']"
楼梯间,['staircase']
前室,"['atria', 'prechamber']"
烟控,['烟控']
北方省,['北方省']
使用费,"['royalty', 'royalties', 'yardage', 'charge for use', 'use fee']"
欧分,['欧分']
主峰,"['main peak', 'the highest peak in a mountain range', 'primary front']"
玉皇顶,['Peak of the Heavenly Emperor']
只由民,['只由民']
互选,['mutual election']
喷油,['oil injection']
始点,['initial point']
直喷式,['直喷式']
丁勤,['丁勤']
任内,['任内']
日薄西山,"[""nearing one's ends"", 'the setting down sun']"
左派,"['the Left', 'the left wing']"
签订协议,['sign an agreement']
尼市,['尼市']
新源,['新源']
阵亡将士,['阵亡将士']
谩骂,"['rail', 'fling abuses', 'hurl invectives']"
高迪以,['高迪以']
卡以,['卡以']
钟楼,"['bell tower', 'belfry', 'campanile', 'bellhouse']"
古物,"['fossil', 'Antiqua', 'antique', 'ancient objects']"
中枢系统,['cental system']
奥威尔,['Orwell']
疏漏,"['oversight', 'careless omission']"
爱侣,['lover']
立出,['立出']
快地,['快地']
谋善,['谋善']
雷孟达,['雷孟达']
西伯利亚地区,['西伯利亚地区']
肯伦说,['肯伦说']
胆略,['courage and resource']
气魄,"['courage', 'daring', 'boldness of vision', 'breadth of spirit']"
张祜,['张祜']
富力,"['Guangzhou R&F Properties Co.,Ltd（公司名）']"
两广,['Guangdong and Guangxi provinces']
泡绵,['foamed plastic']
位线,"['bit line', 'digit line']"
线电压,"['circuit voltage', 'line voltage', 'line-to-line voltage']"
信札,['letters']
皮尔洛,['Pirlo（人名）']
拉尔森,['拉尔森']
半钟,['半钟']
梦会,['梦会']
晚一点,['later']
肉猪,['pork pig']
索洛,"['Solo', 'Solow', 'Sollo']"
有分,['有分']
后书,['后书']
霍米,['Homi']
仲丁醇,['sec-butyl alcohol']
易得,['easy to get']
约鲁巴人,['Yoruba']
双辊,['双辊']
开炼机,['open mill']
抛物,['parabolic']
贯流式,['贯流式']
标话,['标话']
侗,"['boy', 'naive', 'puerile', 'ignorant', 'the Dong nationality']"
诸族,['诸族']
借词,"['loanword', 'loan']"
巴特那,['Patna']
库马尔,"['Coomar', 'Kumar', 'Kumal']"
郝红蕊,['郝红蕊']
小汽车,"['sedan', 'donkey engine', 'sedan car']"
未知数,"['unknown', 'uncertain', 'unknown number']"
有过之无不及,"['go even beyond', 'far from falling below the mark']"
之春,['之春']
产品简介,['product brief introduction']
火龙,"['fiery dragon', 'a procession of lanterns or torches']"
东方龙,['Orient Dragon']
子痫,"['eclampsia', 'eclampsia gravidarum', 'puerperal convulsion']"
纤维蛋白,['fibrous protein']
谁谁谁,['谁谁谁']
板系统,['板系统']
来世,"['the world to come', 'future world', 'next world', 'afterdeath']"
调侃,"['scoff', 'ridicule']"
带鱼,['hairtail']
摇滚音乐,"[""rock'n'roll""]"
瑞格,['瑞格']
马明东,['马明东']
营销员,['salesman']
删帖,['删帖']
南缘,['南缘']
冲断,['thrust']
富油,['rich oil']
银粒,['银粒']
突变型,"['mutant', 'mutant type']"
吊环,"['rings', 'flying rings', 'stationary rings', 'the swinging ring']"
滑车,"['pulley', 'tackle', 'trochlea', 'block', 'trolley']"
本节,['present section']
总述,['总述']
英诗,['英诗']
读后,['读后']
杂感,['random thoughts']
茎杆,"['cane', 'stem']"
网聚,['网聚']
议付,"['negotiation', 'negotiated payment']"
自始自终,"['all along', 'from the egg to the apple']"
克己,"[""restrain one's selfishness"", 'be strict with oneself']"
区后,['区后']
测试报告,['test report']
测试日志,['test log']
佩雷斯,"['Perez', 'Peres']"
德奎利亚尔,['德奎利亚尔']
孟汉娜,['孟汉娜']
马能,['马能']
乔普拉,['Chopra']
哥特式,"['Gothic', 'gothic']"
盖亚,['Gaea']
借以,"['so as to', 'for the purpose of', 'by way of']"
葵花籽,"['sunflower seed', 'polly seed']"
斯伯丁,['Spalding（篮球的一个系列）']
依依不舍,"['to be unwilling to part', 'can not bear to part']"
走向前去,['走向前去']
据小唐,['据小唐']
纳塔,['Natta']
一书称,['一书称']
三极真空,['三极真空']
桌腿,['table leg']
缎钢,['缎钢']
钟有,['钟有']
气割,"['gas cutting', 'torch cutting']"
西周,['the Western Zhou Dynasty (c. 11th century-771 B.C.)']
共和元年,['共和元年']
后计,['后计']
推其前,['推其前']
不可动摇,"['unshakable', 'inflexible']"
基本点,"['fundamental point', 'basic point']"
攀移,"['climb', 'climbing']"
氟西汀,['fluoxetine']
双歧,['双歧']
活菌,['viable organism']
二零零零年,['二零零零年']
银胶,"['fulmargin', 'elargol', 'electrargol']"
一竹,['一竹']
红菌,['红菌']
下载页,['下载页']
会展中心,['convention and exhibition center']
美国签证,"['United States visa', 'American visa']"
因替,['因替']
年调,['年调']
日常性,['daily']
浴,"['bath', 'bathe']"
课已,['课已']
入台,['入台']
中学教师,"['middle school teacher', 'secondary school teacher']"
余暇,"['leisure', 'spare time', 'leisure time']"
中常会,['中常会']
魁首,"['a person who is head and shoulders above others', 'the brightest and best']"
久长,['久长']
虚况,['虚况']
杨永强,['杨永强']
晟,"['bright', 'prosperous', 'a surname']"
敏,"['quick', 'agile', 'nimble']"
体育台,['体育台']
良田,"['fertile farmland', 'good field']"
五谷丰登,"['produce good harvests', 'a bumper grain harvest', 'a golden harvest', 'an abundant harvest of all crops', 'The harvests of the five grains were plentiful.']"
百花盛开,"['Hundreds of flowers are in full bloom .', 'a hundred flowers in bloom', 'The garden is full of blooming flowers.']"
美满婚姻,['美满婚姻']
积年累月,"['for months and years', 'for years on end', 'year after year']"
为首,"['led by', 'headed by', 'with sb. as the leader', 'be the leader of']"
南斯拉夫联盟共和国,['南斯拉夫联盟共和国']
深重,"['very grave', 'extremely serious']"
米兰达,['Miranda']
兰多,"['Lando', 'Randau', 'Rando', 'Landau']"
尤,"['fault', 'wrongdoing', 'outstanding', 'particularly', 'especially']"
多拉,"['Dora', 'Dolla']"
韦尔蒂,"['Welty', 'Vertu']"
呗,['呗']
落败,['落败']
百分之二十二,['百分之二十二']
用葛黛瓦,['用葛黛瓦']
中集集团,"['CIMC（China International Marine Containers Co., Ltd）']"
跳台,"['diving tower', 'diving platform']"
世界杯赛,['世界杯赛']
事利贝,['事利贝']
雷茨,"['Retz', 'Reetz']"
阿尔伯特,['Albert']
列拉,"['Riera', 'Liera']"
奥林匹亚,['Olympia']
蜗杆,['worm']
传动链,['transmission chain']
藏有,['藏有']
齐白石,['Qi Baishi（人名）']
画儿,['画儿']
味齿,['味齿']
颊,['cheek']
家勃,['家勃']
反响强烈,['反响强烈']
公司股票,['corporate stock']
德雷,"['Derex', 'Deray', 'Derer', 'Dere', 'Derrey', 'Drai', 'Dray', 'Dret']"
伊富斯,['伊富斯']
大学校长,['president']
墟,"['ruins', '同“圩”']"
履,"['shoe', 'footstep', 'carry out', 'walk on', 'to tread on']"
无薪,['无薪']
生死关,['生死关']
玩线,['玩线']
地会,['地会']
筹码,"['chip', 'jetton']"
梅干,['prune']
岑树,['ash']
芬芳馥郁,['芬芳馥郁']
招新,"['enroll', 'enrollment', 'recruit', 'recruitment']"
义卖,"['a sale of goods for charity or other worthy causes', 'charity bazaar']"
研制开发,['研制开发']
卡是,['卡是']
肝内局,['肝内局']
灶性,['灶性']
化脓性,"['suppurative', 'purulent']"
文学刊物,['文学刊物']
剪板机,"['steel plate shearer', 'plate shearing machine']"
拨号上网,"['dial-up', 'DUN(dial-up networking)']"
秒戈,['秒戈']
找事,['look for a job']
一宿,['一宿']
用人观,['用人观']
三湖,['三湖']
龋,"['caries', 'dental caries', 'dental gangrene', 'eurodontia', 'odontosphacelism']"
挥霍一空,['挥霍一空']
可逆过程,"['reversible process', 'reversible action']"
比压,['specific pressure']
表面起泡,['surface blistering']
肌萎缩,"['amyotrophy', 'amyotrophia']"
侧索,"['funiculus lateralis', 'lateral cord']"
主星,['primary component']
经霜后,['经霜后']
飘红,['飘红']
总算,"['finally', 'at long last']"
出口气,"[""work off one's feeling"", ""vent one's spleen""]"
多晚,['多晚']
增湿,"['wetting', 'dampening', 'humidifying', 'moistening']"
大同县,['大同县']
探明,"['ascertain', 'verify']"
整容,"['face-lifting', 'face-lift', 'tidy oneself up', 'beautify the features']"
揍,"['break', 'beat', 'hit', 'smash']"
升上,['升上']
群众运动,['mass movement']
答卷,['answer sheet']
常规化,['routinization']
使用不当,"['misuse', 'misemploy']"
巨大损失,"['enormous loss', 'massive loss', 'huge loss', 'large loss']"
霍洛,"['Jolo', 'Hollo', 'Holla', 'Holo', 'Hollow']"
二氧化硫,"['sulfur dioxide', 'sulfurous acid anhydride', 'sulfurous anhydride']"
相平衡,"['phase equilibrium', 'phase equilibria']"
尤多约诺,['尤多约诺']
各行其道,['各行其道']
催吐,['emetic (method)']
川汽,['川汽']
富临,['富临']
实业集团,['industry group']
安治,['安治']
富称,['富称']
纯属,"['sheer', 'outright', 'pure and simple']"
无中生有,"['out of thin air', 'creating something out of nothing']"
逐个,['one by one']
嫩芽,"['peel', 'tender shoot', 'burgeen']"
增透膜,['antireflection film']
一算,['一算']
疯够,['疯够']
见不着,['见不着']
幽室,['幽室']
相守,"['concomitance', 'be together']"
和煦,"['genial', 'pleasantly warm']"
展翅高飞,"['soar to great heights', 'spread its wings and fly up', 'spread the wings and soar high']"
铥,['thulium(Tm)']
茄子,"['eggplant', 'aubergine', 'brinjaul']"
三差,['三差']
招来,['draw on']
是是非非,['是是非非']
陈酿,['ageing']
窄窄的,['窄窄的']
探物,['探物']
取物,['fetch']
土葬,['burial in the ground']
骨灰盒,['cinerary casket']
公兽,['公兽']
母兽,['cow']
撤至,['撤至']
热气,['hot-gas']
鹅国,['鹅国']
阴国,['阴国']
吴荪,['吴荪']
甫,"['just', 'only', ""man's courtesy name"", 'a surname']"
射定,['射定']
赵伯韬,['赵伯韬']
台湾银行,['Bank of Taiwan']
债权,"[""creditor's rights""]"
增塑,"['plastification', 'softening', 'fluxion', 'plastify']"
高模,['高模']
不菲,['high']
教案,['teaching plan']
童谣,"['rhyme', 'nursery rhyme', ""children's folk""]"
教唱,['教唱']
念谣,['念谣']
鸭绿江,['the Yalu River']
望见,"['set eyes on', 'espy', 'gather on']"
将就一下,['将就一下']
陆栖,['terrestrial']
遣憾,['遣憾']
一打,['a dozen']
沙蚤,['sand hopper']
赊销,"['sell on credit', 'charge sales', 'sales on account']"
雪盖,['snow cap']
植物纤维,['plant fibre']
农用,['farm-oriented']
越洋电话,['overseas call']
克莱夫,"['Cleef', 'Clef']"
对满,['对满']
游憩,['stroll about or have a rest']
玛琳湖,['玛琳湖']
腿抽筋,['have a cramp in the leg']
贩卖毒品,"['push drugs', 'crime of drug trafficking']"
一帆,['一帆']
高街,['The High Street（一个城镇主要的商业与零售的街道）']
永利,['永利']
乙水,['乙水']
正当性,['legitimacy']
人民性,"['affinity to the people', 'national character']"
陷入绝境,"['be driven to the last ditch', ""have one's back to the wall"", 'in an extremity', 'in extremes']"
短笛,['piccolo']
集齐,"['complete collection', 'collect all...']"
龙珠,['japanese tubocapsicum dragonpearl herb']
分路,"['branching', 'shunt', 'from several directions']"
光刻,['photoetching']
掩模,"['masking', 'reticle mask', 'intermediate photomask']"
放射学,['radiology']
神经痛,"['neuralgia', 'neurodynia']"
参保,['insured']
万未,['万未']
蒙受,"['suffer', 'sustain']"
数以,['数以']
钜额,['钜额']
畅旺,['畅旺']
调降,['调降']
拉货,['pick up the goods']
七八年,['七八年']
用能,['energy']
标杆,"[""surveyor's pole"", 'sightcing']"
外行,"['layman', 'outsider', 'nonprofessional', 'lay', 'unprofessional']"
看热闹,"['watch the scene of bustle', 'be a looker-on', 'look on', 'see the fun']"
内行,"['adept', 'connoisseur', 'professionals', 'experienced', ""know one's goods""]"
门道,['gateway']
联为,['联为']
收执,['be issued to the person concerned for safekeeping']
原始凭证,['original certificate']
轴承钢,['ball bearing steels']
铸坯,['casting blank']
流窜到,['流窜到']
流在,['流在']
流图,['flow graph']
非磁性,['non magnetic']
折痕,"['fold', 'kink mark']"
这书,['这书']
丽格,['丽格']
海棠,"['Chinese flowering crabapple', 'Malus spectabilis', 'cherry-apple tree']"
亲本,['parent']
球根海棠,['球根海棠']
盆花,['potted flowers']
后备力量,['reserve force']
居尔,"['Gyl', 'Gurs', 'Gur']"
不问,"['ignore', 'disregard', 'pay no attention to', 'not consider']"
关门歇业,['关门歇业']
大权在握,"[""have the staff in one's hand"", ""have the power in one's grip""]"
大舅,['elder uncle']
发生争执,"['come into conflict', 'have a quarrel with', 'dispute with']"
拖挂,['拖挂']
嚼,"['chew', 'chewing', 'chaw']"
五字经,['五字经']
具体内容,['concrete content']
从陆,['从陆']
英中,['英中']
乌索酸,"['malol', 'ursonic acid', 'ursone']"
旧电影,['old movies']
选马,['选马']
几匹,['几匹']
好马,['好马']
选离门,['选离门']
那匹马,['那匹马']
热害,['heat damage']
控方,"['prosecution', 'accuser']"
詹宁斯,['Jennings']
太对,['太对']
雷人,['shocking']
背阔,['背阔']
伴行,['伴行']
深面,['深面']
穿入,['penetration']
写稿,"['write for a magazine', 'contribute to a magazine']"
怪模怪样,"['grotesque', 'queer-looking', 'odd-looking', 'singular in temperament']"
傻帽,"['sucker', 'stupid', 'idiot', 'fool']"
德维尔,['Deville']
灰白,"['ashen', 'pale', 'hoary', 'greyish white']"
默洛,['Merlo']
聚醚醚酮,['PEEK(polyether-ether-ketone)']
自我批评,"['self-criticism', 'criticize oneself']"
西九,['西九']
拟将,['拟将']
糅合,"['mix', 'form a mixture']"
机智勇敢,"['be resourceful and brave', 'be brilliant and resourceful', 'brave and steadfast', 'resourceful and courageous']"
周姬昌,['周姬昌']
运思,['think hard']
透进来,['透进来']
讲课,"['prelection', 'teach', 'give a lesson']"
斩,"['cut', 'chop', 'behead']"
咸菜,['pickles']
初发,['初发']
金童,['金童']
私通,"['adultery', 'fornication', 'have secret communication with', 'illicit intercourse']"
肢体冲突,"['physical conflict', 'physical fights', 'body conflict']"
易错,['fallibility']
空气冷却,"['air cooling', 'cooling by means of air']"
高个子,['tall person']
不速之客,"['crasher', 'freeloader', 'uninvited guest', 'unbidden guest']"
夹杂着,"['be mixed up with', 'be mingled with']"
内发,['内发']
恐怖事件,"['terrorist incident', 'terrorist event']"
高致敏,['高致敏']
书摘,['excerpt']
瘦高,['瘦高']
尖细,['taper']
默沙东,['Merck']
先灵葆雅,['先灵葆雅']
专权,['grab all the power']
肉商,"['meatman', 'butcher']"
居民点,['housing estate']
逐家,['逐家']
逐户,['逐户']
凤儿,['凤儿']
重投,['bepelt']
骰,['dice']
和蔼可亲,"['amiableness', 'genial']"
节中,['节中']
国信,['国信']
维乍集,['维乍集']
理财产品,"['finance products', 'financing product', 'financial products']"
侧视,['side-looking']
辐值,['辐值']
代词,['pronoun']
帕森,"['Paassen', 'Parson', 'Passen']"
亭子,['pavilion']
国际服装,['国际服装']
罗娅,['Roja']
图里,['toury']
瓦尔斯,"['Walls', 'Valls', 'Vals', 'Waals']"
最高层,['TOP']
下层社会,"['underclass', 'the underworld', 'lower class']"
义举,"['a magnanimous act undertaken for the public good', 'chivalrous deed']"
广告学,"['advertising', 'advertisement science']"
首字,['first word']
常戴,['常戴']
五分之二,['two fifths']
温克,"['Winker', 'Unk', 'Wink']"
保比,['保比']
肉牛,"['beeves', 'beef (pl. beefs', 'beef)']"
杨鸿,['Yang Hong（人名）']
现场采访,"['on-the-spot interview', 'spot coverage']"
抄本,"['transcript', 'codex', 'manuscript', 'hand-copied book', 'antigraph']"
租一,['租一']
泛舟,"['yachting', 'white water rafting']"
于邦,['于邦']
肖河,['肖河']
秋色,"['autumn scenery', 'autumnal tints']"
多情,"['acracholia', 'passionate', 'full of tenderness or affection']"
淡泊,['not to seek fame and wealth']
踩下,['step on']
旋转门,"['revolution door', 'revolving door']"
玻璃门,['glass door']
其蚀,['其蚀']
这株,['这株']
老战士,['老战士']
鹰钩鼻,"['hooknose', 'hawk nose', 'aquiline nose', 'accipitrine nose']"
梅艳芳,['Anita Mui']
比新,['比新']
马师,['马师']
出道时,['出道时']
华光,['华光']
崭露头角,"['make a figure', 'cut a figure']"
季全,['季全']
卷上,['卷上']
人民出版社,"[""People's Publishing House""]"
手挽手,['hand in hand']
重逢,"['meet again', 'have a reunion']"
不称职,"['incompetent', 'unfit for the jobpost', 'position]']"
吉罗,"['Girault', 'Giro', 'Guiro', 'Giraud', 'Girod']"
索诺拉,['索诺拉']
丰塞卡,"['Fonseca', 'Fonseka']"
莱西,"['Lacey', 'Lesi', 'Lassey']"
塞科,"['Seko', 'Secco', 'Seco']"
会合,"['congregation', 'rendezvous', 'meet', 'assemble', 'bring together']"
得宜,"['appropriate', 'proper', 'suitable']"
失望透顶,['extremely disappointed']
甜瓜,"['melon', 'muskmelon', 'Cucumis melo L.']"
传开,"['spread', 'reach', 'get about', 'take air', 'get abroad']"
子球,['cormel']
里萨,"['Rissa', 'Resa']"
暗藏,"['hide', 'conceal']"
莫须有,"['fabricated', 'unwarranted', 'groundless', 'baseless']"
黑锅,"['bear the blame', 'scapegoat', 'Traveler（电视剧名）']"
欠债,['in debt']
西格,"['Segar', 'Sieg', 'Seegar', 'Seagar']"
终端产品,['terminal product']
图像压缩,"['cramping', 'image compression']"
小简,['小简']
会够,['会够']
黑黑的,['黑黑的']
眼瞳,['eye pupil']
联成,['联成']
许嵩,['Song Xu']
悉德,['悉德']
城大,['城大']
生夥伴,['生夥伴']
来港,['来港']
费沃斯,['Favors']
雅典娜,"['Athena', 'Pallas', 'Athene']"
市建,['市建']
围住,"['enclosure', 'lap', 'surround', 'environ', 'picket']"
硅藻,['diatom']
海参,"['trepang', 'holothurian']"
虾类,"['prawn', 'shrimp']"
蟹类,['crab']
等海,['等海']
营收额,['营收额']
自主性,['autonomy']
左后卫,['left back']
农村妇女,['rural woman']
专程,['special trip']
民政局,['civil affairs bureau']
阿龙,['Alon']
越早,"['earlier', 'sooner']"
千页,['千页']
闽西北,['闽西北']
元古代,['Proterozoic era']
片麻岩,['gneiss']
磁阱,['magnetic trap']
土上,['Doue']
心理压力,['mental stress']
滦南县,['Luannan County']
枝江,['Zhijiang（地名）']
老窖,['Laojiao']
巴布亚,['Papua']
桥面,"['deck', 'bridge floor', 'road of bridge']"
胶合板,"['plywood', 'veneer']"
石英石,"['quartzite', 'quartz stone']"
价格下降,['price fall']
弹琴,"['play the piano', 'play a stringed instrument']"
挚爱,"['devotion', 'true love']"
生理需求,"['physiological needs', 'physiological drive']"
绝杀,['final hit']
冰云,['ice clouds']
开敞空间,['wide open space']
奈良,['Nara']
别有洞天,"['hidden but beautiful spot', 'a world all its own', 'Here is an altogether different world.']"
挂号费,['registration fee']
陷坑,"['pit', 'pitfall', 'sink']"
人事档案,"['personnel archives', 'personnel files']"
万盏,['万盏']
用户组,['user group']
治疗仪,"['therapeutic apparatus', 'therapeutic equipment']"
案发地点,"['crime scene', 'crime spot', 'happening place', 'locale']"
技术落后,['lag in technology']
可测,['measurable']
非散度,['非散度']
集火时,['集火时']
肾内科,['nephrology department']
帕卡德,['Packard']
低中,['低中']
端坐,['sit up']
姜果,['姜果']
白雪公主,['Snow White']
红的铁,['红的铁']
舞鞋,['dance shoes']
发狂地,"['madly', 'crazily', 'ragingly', 'dementedly']"
餐官,['餐官']
专美,['monopolize all the praises']
厚厚,['厚厚']
困住,['box up']
纸刻品,['纸刻品']
真令,['真令']
时尚品牌,['fashion brand']
自激振荡,['self-oscillation']
侍从,"['attendants', 'retinue']"
桑乔,['Sancho']
晕过去,"['go faint', 'black out']"
他动,['他动']
有界度,['有界度']
历史主义,"['historicism', 'historism']"
没问,"[""haven't asked"", 'did not ask']"
生化学,['biochemistry']
骆坐,['骆坐']
饲主,['饲主']
刺青,['tattoo']
第三十八条,['第三十八条']
第三十七条,['第三十七条']
保护期,['term of protection']
样板间,['prototype room']
孰轻孰重,['Which is more important?']
其新,['其新']
普实克,['普实克']
奎塔,['奎塔']
身前,['身前']
原译,['原译']
六例,['六例']
五例,['五例']
真皮层,['corium layer']
养老保险金,['old age security pension']
晚年时期,['晚年时期']
静谧,"['quiet', 'tranquil', 'still']"
水能,['hydroenergy']
海洋能,"['ocean energy', 'sea energy']"
下起,['下起']
乡亲,"['a person from the same village or town', 'fellow villager or townsman']"
单程,['one way']
努兰,['努兰']
长点,['长点']
高级职称,['title of a senior professional post']
置信度,['confidence coefficient']
仓式,['仓式']
干燥设备,"['drying machinery', 'drying equipment']"
室性早搏,['ventricular premature beat(VPB)']
室早,"['premature ventricular contraction（PVC，室性早搏）', 'premature ventricular complex（室性早搏）', 'ventricular premature contraction（VPC，室性早搏）', 'ventricular premature beat （VPB，室性早搏）', 'ventricular extrasystole （VES，室性早搏）']"
平或慢,['平或慢']
真热,['真热']
同步网,['同步网']
跳越,"['skip', 'jump up over']"
校监,['school superintendent']
港督,['港督']
吉普赛人,"['gypsy', 'zingaro', 'gip']"
产科病房,"['maternity ward', 'obstetric ward']"
台服,['台服']
链接库,['chained library']
镇赉县,['镇赉县']
华博,['华博']
卡拉什尼科夫,['Kalashnikov']
检点,"['check', 'examine']"
肯吃苦,"['be hardworking', 'be willing to endure hardships']"
切罗,['Cerro']
圈速,['圈速']
三乐,['三乐']
协方差,"['covariance', 'covariation']"
旅游业界,['旅游业界']
他系,['他系']
红带,['red tape']
葬俗,['burial custom']
满头大汗,"[""Sweat dripped from one's face."", ""Sweat trickled down one's forehead.""]"
人同,['人同']
浓浓,['浓浓']
如醇,['如醇']
似溢,['似溢']
抽出来,"['take out', 'unreeve']"
帕尔多,['Pardo']
国宾馆,['state guesthouse']
特里斯坦,"['Tristan', 'Trystan']"
库尼亚,"['Cunha', 'Kunya', 'Cuna']"
主岛,['principal island']
凤冠,['phoenix coronet']
电汇,['wire transfer']
人行横道,['pedestrian crossing']
淄博市,['Zibo City']
少儿英语,"['Basic English', 'Young Learners English']"
寻,"['search', 'seek', 'look for', 'an ancient measure of length equal to about eight chi', 'a surname']"
滨河路,['滨河路']
读到,['get up to']
课外读物,['book for outside reading']
文化素质,['cultural quality']
凌志,['lexus']
关中地区,"['Guanzhong area', 'Guanzhong region']"
麦卡锡主义,['McCarthyism']
重新制定,"['reenact', 'reformulate']"
国策,"['national policy', 'the basic policy of a state']"
钟国,['钟国']
拼错,"['misspelling', 'misspell']"
炉臂,['炉臂']
金属镁,['magnesium metal']
行须,['行须']
实施细则,['enforcement regulation']
信号灯,"['signal lamp', 'signal light', 'pilot lamp']"
傻傻,"['foolish', 'silly']"
要从严,['要从严']
搞错,['mistake']
完成使命,"[""accomplish one's mission""]"
咏乐诗,['咏乐诗']
克勒,"['Kerle', 'Kelle', 'Creux', 'Koehler']"
顿时,"['immediately', 'forthwith', 'at once']"
走秀,['modern fancywork']
傅铁铮,['傅铁铮']
小女,['小女']
泻心汤,['泻心汤']
亚比,['亚比']
以谢,['以谢']
阿施,['Asch']
基甸,['基甸']
防备,"['premunition', 'take precautions against', 'guard against']"
米甸人,['米甸人']
争气,"['try to make a good showing', 'try to win credit for', 'try to bring credit to']"
用功读书,"['study hard', 'nose to the grindstone', 'phibete']"
考上,['be admitted to']
杏干,['dried apricot slices']
花生仁,"['peanut kernel', 'groundnut kernel']"
等经,['等经']
阶梯,"['ladder', 'stair']"
最上层,"['stratosphere', 'topside']"
人民报,['人民报']
硫价态,['硫价态']
